"","Log_Total_hour_salary","ingtot","y_ingLab_m","y_salary_m","y_salarySec_m","y_ingLab_m_ha","y_salary_m_hu","y_salarySec_m_ha","totalHoursWorked","hoursWorkUsual","hoursWorkActualSecondJob","age","sex","estrato1","maxEducLevel","college","edu_years","exp","oficio","relab","formal","microEmpresa","regSalud","sizeFirm","p6240","ocu","dsi"
"4503",8.4831246672885,994119.666666667,994119.6875,781242,NA,4832.5263671875,3797.7041015625,NA,48,48,NA,31,1,2,7,0,14,11,38,1,1,"No Small",1,5,1,1,0
"4504",8.46370454080591,975000,975000,9e+05,NA,4739.58349609375,4375,NA,48,48,NA,24,1,1,7,0,15,3,39,1,1,"No Small",1,5,1,1,0
"4505",8.4890223590924,750000,750000,750000,NA,4861.111328125,4861.111328125,NA,36,36,NA,26,0,1,7,0,13,7,39,1,1,"No Small",1,5,1,1,0
"4506",9.11138928499674,2443333.33333333,1863333.375,1720000,NA,9057.8701171875,8361.111328125,NA,48,48,NA,49,1,1,6,1,11,32,95,1,1,"No Small",1,5,1,1,0
"4507",8.38366179879172,9e+05,9e+05,8e+05,NA,4375,3888.88891601562,NA,48,48,NA,20,0,3,7,0,14,0,45,1,1,"No Small",1,4,1,1,0
"4508",9.74178527018981,6100000,3500000,3500000,NA,17013.888671875,17013.888671875,NA,48,48,NA,63,1,3,7,0,14,43,85,1,1,"No Small",1,5,1,1,0
"4509",8.73576772690656,1306544.33333333,1066544.375,950000,NA,6221.5087890625,5541.66650390625,NA,40,40,NA,22,0,3,7,0,16,0,13,1,1,"No Small",1,4,1,1,0
"4510",8.37248844803307,890000,890000,820000,NA,4326.388671875,3986.11108398438,NA,48,48,NA,25,0,3,7,0,13,6,97,1,1,"No Small",1,5,1,1,0
"4511",9.77394818118114,3881667,3765000,2500000,NA,17570,11666.6669921875,NA,50,50,NA,37,1,2,6,1,11,20,58,2,1,"No Small",1,5,1,1,0
"4512",8.13234738645469,7e+05,7e+05,7e+05,NA,3402.77783203125,3402.77783203125,NA,48,48,NA,28,1,2,7,0,16,6,80,1,0,"Small",NA,2,1,1,0
"4513",9.66767732452745,3260000,3250000,3e+06,NA,15798.611328125,14583.3330078125,NA,48,48,NA,28,1,2,7,0,16,6,9,1,1,"Small",1,2,1,1,0
"4514",8.70403503388579,1239877.66666667,1239877.625,860000,NA,6027.18310546875,4180.5556640625,NA,48,48,NA,52,1,2,5,0,9,37,92,1,1,"No Small",1,5,1,1,0
"4515",8.32384342971216,847742,847742,781242,NA,4120.96826171875,3797.7041015625,NA,48,48,NA,29,1,2,6,1,11,12,79,1,1,"No Small",1,5,1,1,0
"4516",8.36241011765967,881075.333333333,881075.3125,781242,NA,4283.0048828125,3797.7041015625,NA,48,48,NA,31,0,2,6,1,11,14,79,1,1,"No Small",1,5,1,1,0
"4517",8.53145795634031,934666.666666667,934666.6875,810000,NA,5071.8349609375,4395.3486328125,NA,43,43,NA,30,1,2,6,1,11,13,97,1,1,"No Small",1,5,6,1,0
"4518",7.79587517853245,750000,750000,750000,NA,2430.5556640625,2430.5556640625,NA,72,72,NA,37,0,1,6,1,11,20,57,1,0,"No Small",1,4,1,1,0
"4519",8.34913135482344,869453,869453,781242,NA,4226.5078125,3797.7041015625,NA,48,48,NA,25,0,1,6,1,10,9,55,1,1,"No Small",1,5,1,1,0
"4520",8.31466890737492,840000,840000,840000,NA,4083.33325195312,4083.33325195312,NA,48,48,NA,19,1,1,6,1,11,2,95,1,0,"Small",NA,2,1,1,0
"4521",8.34592145363854,1987492,1300000,1200000,NA,4212.962890625,3888.88891601562,NA,72,72,NA,63,1,1,4,0,5,52,58,1,1,"Small",1,2,1,1,0
"4522",9.26249188197572,2683333.33333333,2483333.25,2300000,NA,10535.353515625,9757.576171875,NA,55,55,NA,32,1,1,6,1,11,15,33,1,1,"No Small",1,5,1,1,0
"4523",8.28568141094753,1020000,1020000,1020000,NA,3966.66674804688,3966.66674804688,NA,60,60,NA,30,0,1,6,1,11,13,92,1,0,"Small",1,2,1,1,0
"4524",9.16190431990635,1959877.66666667,1959877.625,1700000,NA,9527.1826171875,8263.888671875,NA,48,48,NA,29,0,1,7,0,16,7,59,1,1,"No Small",1,5,1,1,0
"4525",9.02173328223059,1963544.33333333,1703544.375,1500000,NA,8281.1181640625,7291.66650390625,NA,48,48,NA,31,1,1,6,1,11,14,39,1,1,"No Small",1,5,1,1,0
"4526",8.41745054648622,930929.416666667,930929.4375,781242,NA,4525.3515625,3797.7041015625,NA,48,48,NA,40,1,1,7,0,13,21,39,1,1,"No Small",1,5,6,1,0
"4527",9.07056733090662,1677000,1677000,1500000,NA,8695.5556640625,7777.77783203125,NA,45,45,NA,55,1,1,6,1,11,38,95,2,1,"No Small",1,5,1,1,0
"4528",7.86041363061311,8e+05,8e+05,8e+05,NA,2592.59252929688,2592.59252929688,NA,72,72,NA,37,0,1,6,1,11,20,59,1,0,"Small",NA,2,1,1,0
"4529",8.34913135482344,869453,869453,781242,NA,4226.5078125,3797.7041015625,NA,48,48,NA,18,1,1,6,1,11,1,38,1,1,"No Small",1,5,1,1,0
"4530",8.34913135482344,869453,869453,781242,NA,4226.5078125,3797.7041015625,NA,48,48,NA,29,0,2,6,1,11,12,45,1,1,"No Small",1,5,1,1,0
"4531",8.90533741047925,1390000,1390000,1300000,NA,7371.2119140625,6893.939453125,NA,44,44,NA,21,1,2,7,0,14,1,39,1,1,"No Small",1,4,1,1,0
"4532",8.29687200845125,1409687.41666667,1409687.375,1200000,NA,4011.30541992188,3414.63403320312,NA,82,82,NA,53,1,3,4,0,5,42,45,1,1,"No Small",1,5,1,1,0
"4533",8.24215197932255,781242,781242,781242,NA,3797.7041015625,3797.7041015625,NA,48,48,NA,26,0,3,7,0,13,7,45,1,1,"No Small",1,5,1,1,0
"4534",9.04379461867312,1935544.33333333,1741544.375,1020000,NA,8465.8408203125,4958.33349609375,NA,48,48,NA,24,0,3,6,1,11,7,39,1,1,"No Small",1,5,1,1,0
"4535",8.26587877011078,8e+05,8e+05,8e+05,NA,3888.88891601562,3888.88891601562,NA,48,48,NA,35,1,2,7,0,16,13,84,1,0,"Small",NA,2,1,1,0
