"Log_Total_hour_salary","ingtot","y_ingLab_m","y_salary_m","y_salarySec_m","y_ingLab_m_ha","y_salary_m_hu","y_salarySec_m_ha","totalHoursWorked","hoursWorkUsual","hoursWorkActualSecondJob","age","sex","estrato1","maxEducLevel","college","edu_years","exp","oficio","relab","formal","microEmpresa","regSalud","sizeFirm","p6240","ocu","dsi"
9.97990193096924,4441000,4441000,4066000,NA,21588.1953125,19765.27734375,NA,48,48,NA,35,0,3,7,0,16,13,21,1,1,"No Small",1,5,6,1,0
8.64300725988035,1166473.33333333,1166473.375,1e+06,NA,5670.3564453125,4861.111328125,NA,48,48,NA,52,1,2,5,0,8,38,58,1,1,"No Small",1,5,1,1,0
8.36383711768092,882333.416666667,882333.4375,737717,NA,4289.12109375,3586.12426757812,NA,48,48,NA,51,0,2,5,0,8,37,55,1,1,"No Small",1,5,1,1,0
8.76540070404527,1483140,1483140,1400000,NA,6408.62939453125,6049.3828125,NA,54,54,NA,60,1,2,6,1,11,43,93,1,1,"No Small",1,5,1,1,0
8.75507717614277,1388140,1304806.625,1140000,NA,6342.81005859375,5541.66650390625,NA,48,48,NA,30,1,3,6,1,11,13,58,1,1,"No Small",1,3,1,1,0
7.82404601085629,9e+05,9e+05,9e+05,NA,2500,2500,NA,84,84,NA,32,1,3,5,0,9,17,77,1,0,"Small",NA,2,1,1,0
8.69044361896214,1223140,1223140,1140000,NA,5945.8193359375,5541.66650390625,NA,48,48,NA,27,1,3,3,0,3,18,58,1,1,"No Small",1,3,1,1,0
8.18482730710011,837717,737717,737717,NA,3586.12426757812,3586.12426757812,NA,48,48,NA,21,1,3,7,0,13,2,19,1,1,"No Small",1,5,1,1,0
8.4890223590924,1e+06,1e+06,1e+06,NA,4861.111328125,4861.111328125,NA,48,48,NA,30,1,2,7,0,14,10,15,1,1,"No Small",1,5,1,1,0
9.70096326849481,3150000,3150000,2700000,NA,16333.3330078125,14000,NA,45,45,NA,27,1,3,7,0,16,5,8,1,1,"No Small",1,5,1,1,0
8.64300725988035,1426473.33333333,1166473.375,1e+06,NA,5670.3564453125,4861.111328125,NA,48,48,NA,59,1,3,3,0,4,49,45,1,1,"No Small",1,5,1,1,0
8.9337081571739,1300000,1300000,1200000,NA,7583.33349609375,7000,NA,40,40,NA,57,0,3,4,0,5,46,54,3,1,"Small",1,1,1,1,0
7.9626925215862,8e+05,8e+05,8e+05,NA,2871.794921875,2871.794921875,NA,65,65,NA,43,1,3,6,1,11,26,84,1,0,"Small",1,2,1,1,0
8.82820989021628,1403806.66666667,1403806.625,1200000,NA,6824.06005859375,5833.33349609375,NA,48,48,NA,42,1,2,7,0,12,24,58,1,1,"No Small",1,5,1,1,0
9.36449107970523,3e+06,3e+06,3e+06,NA,11666.6669921875,11666.6669921875,NA,60,60,NA,26,0,4,7,0,15,5,45,1,0,"Small",1,2,1,1,0
8.29161595599613,820857,820857,737717,NA,3990.27709960938,3586.12426757812,NA,48,48,NA,22,1,2,6,1,11,5,58,1,1,"No Small",1,4,1,1,0
9.66767732452745,3250000,3250000,3e+06,NA,15798.611328125,14583.3330078125,NA,48,48,NA,41,0,3,7,0,16,19,39,1,1,"No Small",1,5,1,1,0
8.71536078336054,1254000,1254000,9e+05,NA,6095.83349609375,4375,NA,48,48,NA,44,0,2,6,1,11,27,90,1,1,"No Small",1,5,1,1,0
8.81337858315158,1383140,1383140,1200000,NA,6723.59716796875,5833.33349609375,NA,48,48,NA,21,1,2,7,0,13,2,55,1,1,"No Small",1,5,1,1,0
7.79587517853245,5e+05,5e+05,5e+05,NA,2430.5556640625,2430.5556640625,NA,48,48,NA,19,1,2,6,1,11,2,58,2,1,"No Small",2,5,1,1,0
7.76655147665555,991333.416666667,991333.4375,737717,50000,2360.31762695312,3586.12426757812,233.333333333333,98,48,50,39,0,2,7,0,14,19,79,1,1,"No Small",1,3,6,1,0
6.90775527898214,3e+05,3e+05,3e+05,NA,1000,1000,NA,70,70,NA,19,1,2,6,1,11,2,58,2,1,"No Small",2,5,1,1,0
10.5664827432348,8272166.66666667,7984166.5,7370000,NA,38811.921875,35826.390625,NA,48,48,NA,59,1,4,7,0,15,38,3,1,1,"Small",1,2,6,1,0
